# Number of Traces
   9684
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
  211; 1; 182; 1.0412; 0.0714697; -0.509276; 0.769243; 0.926209; 0.985075
  212; 1; 184; 0.604619; 0.889551; -0.275777; 0.775063; 0.817661; 0.60035
  213; 1; 185; 0.525288; 0.967605; -0.509276; 0.476693; 1.34624; 0.640642
  214; 1; 186; 0.593792; 1.12446; 0.568823; 0.65674; 1.02319; 0.60035
  215; 1; 187; 1.26989; -0.325772; -0.509276; 0.697397; 1.03413; 0.919107
  216; 1; 188; 0.537406; 1.092; 0.059161; 1.02155; 0.506213; 1.05645
  217; 1; 191; 0.651497; 0.792139; -0.338249; 0.638973; 1.00784; 0.419739
  218; 1; 192; 0.885279; 0.544124; 0.279513; 0.416807; 1.35611; 0.272664
  219; 1; 194; 0.840299; 0.420428; -0.509276; 0.916508; 0.694986; 1.08112
  220; 1; 198; 1.10817; 0.0209654; -0.251984; 1.13198; 0.162463; 0.462626
  221; 1; 199; 0.506601; 1.07427; -0.219274; 1.41065; -0.341418; 0.38512
  222; 2; 3; 0.579278; -0.0213491; -0.0183002; 0.596186; 0.609215; 0.953171
  223; 2; 4; 0.824836; 0.121119; 0.532032; 0.520875; 0.646978; 0.906894
  224; 2; 5; -0.210955; 0.856485; 0.220405; 0.229568; 1.0039; 1.045
  225; 2; 6; 0.178701; 0.599328; 0.366934; 0.236015; 0.930458; 0.943374
  226; 2; 7; 0.408897; 0.3824; 0.355734; 0.472464; 0.309342; 0.332854
  227; 2; 10; 0.12739; 0.54859; 0.220405; 0.496862; 0.336153; 0.406568
  228; 2; 11; 1.16043; -0.26466; 0.411133; 0.662768; 0.536427; 0.934825
  229; 2; 12; 0.648814; 0.592652; 1.00029; 0.627975; 0.415331; 0.705087
  230; 2; 16; 0.784861; 0.0334708; 0.345505; 0.564748; 0.485898; 0.724683
  231; 2; 20; -0.014872; 0.678049; 0.220405; 1.03775; 0.287571; 1.07376
  232; 2; 21; 0.0539751; 0.615398; 0.220405; -0.216068; 1.17641; 0.694554
  233; 2; 23; 0.326165; 0.457643; 0.355667; 0.480337; 0.317993; 0.356641
  234; 2; 24; 0.36752; 0.330071; 0.220405; 0.174649; 1.02414; 1.00029
  235; 2; 26; 0.901442; -0.239991; 0.0937857; 0.455502; 0.616777; 0.772005
  236; 2; 27; -0.404549; 1.28251; 0.596177; 0.507243; 0.347561; 0.437932
  237; 2; 28; 0.389488; 0.31008; 0.220405; 0.456786; 0.292113; 0.285487
  238; 2; 30; 0.148344; 0.685828; 0.455479; 0.580886; 0.595053; 0.910932
  239; 2; 32; 0.203383; 0.479436; 0.220405; 0.395046; 0.878586; 1.08301
  240; 2; 36; -0.032618; 1.21276; 1.00029; 0.464941; 0.301075; 0.310127
  241; 2; 37; 0.356428; 0.340165; 0.220405; 0.232752; 0.97127; 1.00029
  242; 2; 38; 0.00369357; 1.17971; 1.00029; 0.646898; 0.501027; 0.859867
  243; 2; 39; -0.46719; 0.731906; -0.317634; 0.448364; 0.282858; 0.260042
  244; 2; 40; 0.00454404; 0.587912; 0.111417; 0.848187; -0.0282732; 0.339313
  245; 2; 41; 0.319179; 0.0389919; -0.283519; 0.147619; 1.04874; 1.00029
  246; 2; 43; -0.369854; 1.00108; 0.220405; 1.00202; 0.31001; 1.0586
  247; 2; 44; -0.0788753; 0.736292; 0.220405; -0.265605; 1.09627; 0.506239
  248; 2; 45; -0.527394; 1.14752; 0.225031; 0.824583; 0.372864; 0.910295
  249; 2; 46; -0.135099; 1.30602; 1.00029; 0.554276; 0.399245; 0.580031
  250; 2; 49; 0.684078; 0.560562; 1.00029; 0.947364; 0.158849; 0.756466
  251; 2; 50; -0.29295; 0.931101; 0.220405; 0.375709; 1.0171; 1.26487
  252; 2; 52; 0.219469; 0.743218; 0.639132; 0.559108; 0.404555; 0.594631
